ml_run,pred_file,feature_set,bio_age_model,bio_age_file,n_features,n_samples,n_subjects,sample_ml_true_mae,subject_ml_true_mae,ml_sample_mae,ml_subject_mae,bio_age_sample_mae,bio_age_subject_mae,sample_gap_mae,subject_gap_mae,sample_gain,subject_gain,sample_closer_to_bio_rate,subject_closer_to_bio_rate,sample_within_2_rate,sample_within_5_rate,sample_within_8_rate,subject_within_2_rate,subject_within_5_rate,subject_within_8_rate,sample_tie_rate,subject_tie_rate,sample_gap_median,subject_gap_median,sample_gap_p90,subject_gap_p90,pred_bio_corr_sample,bio_age_vs_true_corr_sample
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet/predictions_readable.csv,bio_age_full_image_upper_bound,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_full_image_upper_bound/results.csv,185,2638,873,9.398533737680062,9.208427281405116,9.398533737680062,9.208427281405116,9.293118442437844,9.047788253496131,2.019161538104041,1.7186109678254857,7.379372199576021,7.489816313579631,0.876800606520091,0.8991981672394044,0.6368460955269143,0.9461713419257013,0.9890068233510235,0.6964490263459335,0.9656357388316151,0.9942726231386025,0.0,0.0,1.4345937200389116,1.2433521888373917,4.020911688424924,3.4761847140416773,0.9408357064891558,0.6406074217364048
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge/predictions_readable.csv,bio_age_full_image_upper_bound,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_full_image_upper_bound/results.csv,185,2638,873,9.443094010614102,9.268909125620466,9.443094010614102,9.268909125620466,9.293118442437843,9.047788253496131,2.1448037051810576,1.856422826351945,7.298290305433044,7.4124862992685205,0.8726307808946171,0.8957617411225659,0.6046247156937073,0.9416224412433661,0.9890068233510235,0.6609392898052692,0.9656357388316151,0.9919816723940436,0.0,0.0,1.5362760037836125,1.3656326691805063,4.203615328144415,3.6683876110055715,0.9149199256695948,0.6406074217364048
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression/predictions_readable.csv,bio_age_full_image_upper_bound,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_full_image_upper_bound/results.csv,185,2638,873,9.444463229719483,9.23242987781596,9.444463229719483,9.23242987781596,9.293118442437843,9.047788253496131,2.3648488454850294,2.0109754407500824,7.079614384234453,7.221454437065878,0.8582259287338894,0.8797250859106529,0.5473843821076573,0.9067475360121304,0.979529946929492,0.6197021764032073,0.9415807560137457,0.9828178694158075,0.0,0.0,1.7907262175604686,1.5477582527609783,4.864571533963539,4.2079718981495295,0.9563896070182376,0.6406074217364048
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet/predictions_readable.csv,bio_age_texture_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture_metadata/results.csv,148,2638,873,9.398533737680062,9.208427281405116,9.398533737680062,9.208427281405116,9.571149365033508,9.337577878116555,2.6809114567922485,2.266848462988863,6.717622280887813,6.941578818416254,0.8358605003790751,0.856815578465063,0.4977255496588324,0.8904473085670963,0.9742228961334344,0.584192439862543,0.9266895761741123,0.9862542955326461,0.0,0.0,2.0165141319897444,1.5702158613708193,5.184541747990724,4.347327028664896,0.8441176627730387,0.564119425230273
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge/predictions_readable.csv,bio_age_texture_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture_metadata/results.csv,148,2638,873,9.443094010614102,9.268909125620466,9.443094010614102,9.268909125620466,9.571149365033508,9.337577878116555,2.680527719669473,2.270555537736191,6.762566290944629,6.998353587884274,0.8464746019711903,0.8717067583046965,0.5189537528430629,0.8995451099317665,0.9776345716451857,0.5945017182130584,0.9278350515463918,0.9851088201603666,0.0,0.0,1.9067083154764717,1.5761798335490411,5.007385622889993,4.344810351809332,0.7751006039994079,0.564119425230273
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_pls_regression/predictions_readable.csv,bio_age_texture_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture_metadata/results.csv,148,2638,873,9.444463229719483,9.23242987781596,9.444463229719483,9.23242987781596,9.571149365033508,9.337577878116555,2.8248494105448416,2.375993885057418,6.619613819174642,6.856435992758542,0.8286580742987112,0.845360824742268,0.46664139499620927,0.8654283548142532,0.9658832448824868,0.5532646048109966,0.9106529209621993,0.9851088201603666,0.0,0.0,2.1731720317960175,1.7487306348717908,5.570755399517284,4.797919719359986,0.9262864552092872,0.564119425230273
run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_005829_ta_healthy_nested_cv_fusion_whole_roi_benchmark_huber/predictions_readable.csv,bio_age_full_image_upper_bound,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_full_image_upper_bound/results.csv,185,2638,873,9.572303260045489,9.275923768613975,9.572303260045489,9.275923768613975,9.293118442437843,9.047788253496131,2.8273808391871333,2.376516506935543,6.744922420858355,6.899407261678432,0.83434420015163,0.854524627720504,0.4920394238059136,0.878316906747536,0.9791508718726308,0.5555555555555556,0.9301260022909508,0.9862542955326461,0.0,0.0,2.0374464436384265,1.7489345700208077,5.432585431455239,4.488677083108898,0.8662153189755549,0.6406074217364047
run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260411_003506_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_ridge/predictions_readable.csv,bio_age_ei_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_ei_texture/results.csv,168,2638,873,9.443094010614102,9.268909125620466,9.443094010614102,9.268909125620466,9.649751243189044,9.433442682820763,2.968622058499938,2.6806675268088043,6.474471952114164,6.588241598811662,0.8275208491281274,0.852233676975945,0.4579226686884003,0.8438210765731615,0.9655041698256255,0.4868270332187858,0.8808705612829324,0.97709049255441,0.0,0.0,2.2444904388499545,2.080064897967908,5.982407942054411,5.406827522815162,0.8843867739580356,0.5444348627535553
run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260410_175641_ta_healthy_nested_cv_fusion_whole_roi_masked_cached_elasticnet/predictions_readable.csv,bio_age_ei_texture,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_ei_texture/results.csv,168,2638,873,9.398533737680062,9.208427281405116,9.398533737680062,9.208427281405116,9.649751243189044,9.433442682820763,3.0093779362417794,2.7120571032113925,6.389155801438282,6.4963701781937235,0.8161485974222896,0.8442153493699885,0.4279757391963609,0.8415466262319939,0.9624715693707354,0.4662084765177549,0.8774341351660939,0.9713631156930126,0.0,0.0,2.363388587776427,2.2174976645344735,5.9383562192343,5.446918390983574,0.9267872353307158,0.5444348627535553
run_20260402_151438_ta_healthy_nested_cv_elasticnet,/home/szdx/LNX/usage_predict_feature_engineering/outputs/run_20260402_151438_ta_healthy_nested_cv_elasticnet/predictions_readable.csv,bio_age_texture_metadata,ridge,/home/szdx/LNX/statusage/results/bio_age_feature_benchmark/run_20260422_real_bio_age_benchmark_quick/feature_sets/bio_age_texture_metadata/results.csv,148,2638,873,9.66296739954511,9.468346487208859,9.66296739954511,9.468346487208859,9.571149365033508,9.337577878116555,3.3275035004549385,2.76632539667616,6.335463899090172,6.702021090532698,0.8191811978771797,0.8373424971363116,0.39878695981804396,0.813874147081122,0.9522365428354814,0.4765177548682703,0.870561282932417,0.9736540664375716,0.0,0.0,2.5413086235730233,2.0927518020001443,6.37905946245956,5.445142234529243,0.7497336711290349,0.5641194252302728
