feature_set,model,n_features,ml_sample_mae,ml_subject_mae,state_age_sample_mae,state_age_subject_mae,gain_sample,gain,sample_gap_mae,subject_gap_mae,sample_gap_rmse,subject_gap_rmse,state_age_vs_true_mae,state_age_vs_true_corr,state_age_std,state_age_min,state_age_max,status,note
C5_first_order_texture_morphology,elasticnet,193,9.443094010614102,9.268909125620466,9.436699170813508,9.234249469395598,6.775224887622404,6.800892571334065,2.667869122991698,2.468016554286401,8.063536434825755,5.2508289260545045,9.436699170813508,0.659391014056985,11.93182091837337,-51.21385281695984,180.81906451999347,ok,
B5_first_order_plus_texture,elasticnet,168,9.443094010614102,9.268909125620466,9.608457172322122,9.38211321251241,6.619001316175851,6.745328339310383,2.824092694438251,2.5235807863100823,6.513411221740942,4.488082175276977,9.608457172322122,0.5944425024792737,12.746259344204358,-134.3294500180981,293.1808907555638,ok,
E4_full_plus_metadata,elasticnet,317,9.443094010614102,9.268909125620466,9.272703334704387,9.006139985312037,6.412342322704647,6.674484544815958,3.030751687909455,2.5944245808045077,8.771890576461075,5.73477453438726,9.272703334704387,0.667631692554418,12.509720695045894,-9.598258153469423,229.8361711910557,ok,
B4_texture_only,elasticnet,144,9.443094010614102,9.268909125620466,9.643007619167859,9.369048921894219,6.171345513968891,6.402471517031165,3.2717484966452104,2.8664376085893015,9.739097705406214,6.2942916385201695,9.643007619167859,0.5923183833529011,12.828204201043475,20.324859926750555,352.6886578684779,ok,
D4_roi_plus_partition,elasticnet,132,9.443094010614102,9.268909125620466,10.406133839930654,10.162490590806726,3.752738573660772,4.1455570034538,5.69035543695333,5.123352122166666,13.518170688476687,9.166640644581491,10.406133839930654,0.5908028743443221,9.94458286644198,-21.654133219931502,98.95678014791685,ok,
A2_roi_first_order,elasticnet,12,9.443094010614102,9.268909125620466,10.914585864819648,10.840700405218563,3.535341846604851,3.7213398822672357,5.907752164009251,5.54756924335323,11.045919711939394,8.29799996826151,10.914585864819648,0.5477471981859554,9.148438916324915,-36.07117666929264,82.24525461532541,ok,
A1_ei_only_baseline,elasticnet,1,9.443094010614102,9.268909125620466,11.056694219902463,10.993336483529692,3.2488236398702357,3.460240970260833,6.194270370743866,5.808668155359633,12.266508163054574,8.971411802093805,11.056694219902463,0.5429508961114643,8.672231925852945,30.37666681515043,80.40491307320448,ok,
E3_texture_plus_metadata,ridge,148,9.443094010614102,9.268909125620466,9.571149365033508,9.337577878116555,6.762566290944629,6.998353587884274,2.680527719669473,2.270555537736191,9.875299381746514,6.088877070480035,9.571149365033508,0.564119425230273,13.84251192060267,18.875353619572458,446.7739419888927,ok,
B5_first_order_plus_texture,ridge,168,9.443094010614102,9.268909125620466,9.649751243189042,9.433442682820763,6.474471952114163,6.588241598811662,2.9686220584999385,2.680667526808804,7.152892104323335,4.909096086573403,9.649751243189042,0.5444348627535553,13.846895514028171,-128.21906198746836,423.6932949553613,ok,
B4_texture_only,ridge,144,9.443094010614102,9.268909125620466,9.679088358837442,9.429718691811528,6.202449024053269,6.375272179256694,3.2406449865608327,2.8936369463637726,10.193494623215233,6.546134417384962,9.679088358837442,0.5430262251815065,13.83355979732448,18.65010407592837,459.3110862606467,ok,
C5_first_order_texture_morphology,ridge,193,9.443094010614102,9.268909125620466,9.416118232439013,9.11272116565551,6.1659810632564085,6.33615489647671,3.277112947357694,2.932754229143756,7.8649578476220166,5.416831430597764,9.416118232439013,0.6528362283249145,12.583342555719353,-79.68539819651338,205.15231871094804,ok,
E4_full_plus_metadata,ridge,317,9.443094010614102,9.268909125620466,9.231134052183833,8.831266516003282,5.639006226007769,6.0527355098540525,3.8040877846063332,3.216173615766414,9.1124000896189,6.11231819934102,9.231134052183833,0.6863219198577222,12.754645569874585,-39.789537507476766,143.37035256533122,ok,
